! the number of species must be specified in compilation time (NSCALARS)
!          charge    enumber of atoms
! species    e  H  He C  N  O  Si S  Fe Na Mg Cl P  F 
e-          -1  0  0  0  0  0  0  0  0  0  0  0  0  0 
H            0  1  0  0  0  0  0  0  0  0  0  0  0  0 
H2           0  2  0  0  0  0  0  0  0  0  0  0  0  0 
H+           1  1  0  0  0  0  0  0  0  0  0  0  0  0 
H2+          1  2  0  0  0  0  0  0  0  0  0  0  0  0 
H3+          1  3  0  0  0  0  0  0  0  0  0  0  0  0 
He           0  0  1  0  0  0  0  0  0  0  0  0  0  0 
He+          1  0  1  0  0  0  0  0  0  0  0  0  0  0 
C            0  0  0  1  0  0  0  0  0  0  0  0  0  0 
C+           1  0  0  1  0  0  0  0  0  0  0  0  0  0 
O            0  0  0  0  0  1  0  0  0  0  0  0  0  0 
O+           1  0  0  0  0  1  0  0  0  0  0  0  0  0 
CHx          0  1  0  1  0  0  0  0  0  0  0  0  0  0 
OHx          0  1  0  0  0  1  0  0  0  0  0  0  0  0 
CO           0  0  0  1  0  1  0  0  0  0  0  0  0  0 
HCO+         1  1  0  1  0  1  0  0  0  0  0  0  0  0 
Si           0  0  0  0  0  0  1  0  0  0  0  0  0  0 
Si+          1  0  0  0  0  0  1  0  0  0  0  0  0  0 
